date,close,volume,open,high,low
2019/08/15,1167.26,1224739,1163.5,1175.84,1162.11
2019/08/14,1164.29,1578668,1176.31,1182.3,1160.54
2019/08/13,1197.27,1318009,1171.46,1204.78,1171.46
2019/08/12,1174.71,1003187,1179.21,1184.96,1167.6723
2019/08/09,1188.01,1065658,1197.99,1203.88,1183.603
2019/08/08,1204.8,1467997,1182.83,1205.01,1173.02
2019/08/07,1173.99,1444324,1156,1178.4451,1149.6239
2019/08/06,1169.95,1709374,1163.31,1179.96,1160
2019/08/05,1152.32,2597455,1170.04,1175.24,1140.14
2019/08/02,1193.99,1645067,1200.74,1206.9,1188.94
2019/08/01,1209.01,1698510,1214.03,1234.11,1205.72
2019/07/31,1216.68,1725454,1223,1234,1207.7635
2019/07/30,1225.14,1453263,1225.41,1234.87,1223.3
2019/07/29,1239.41,2223731,1241.05,1247.37,1228.23
2019/07/26,1250.41,4805752,1224.04,1265.5499,1224
2019/07/25,1132.12,2209823,1137.82,1141.7,1120.92
2019/07/24,1137.81,1590101,1131.9,1144,1126.99
2019/07/23,1146.21,1093688,1144,1146.9,1131.8
2019/07/22,1138.07,1301846,1133.45,1139.25,1124.24
2019/07/19,1130.1,1647245,1148.19,1151.14,1129.62
2019/07/18,1146.33,1291281,1141.74,1147.605,1132.73
2019/07/17,1146.35,1170047,1150.97,1158.36,1145.77
2019/07/16,1153.58,1238807,1146,1158.58,1145
2019/07/15,1150.34,903780,1146.86,1150.82,1139.4
2019/07/12,1144.9,863973,1143.99,1147.34,1138.78
2019/07/11,1144.21,1195569,1143.25,1153.07,1139.58
2019/07/10,1140.48,1209466,1131.22,1142.05,1130.97
2019/07/09,1124.83,1330370,1111.8,1128.025,1107.17
2019/07/08,1116.35,1236419,1125.17,1125.98,1111.21
2019/07/05,1131.59,1264540,1117.8,1132.88,1116.14
2019/07/03,1121.58,767011,1117.41,1126.76,1113.86
2019/07/02,1111.25,991755,1102.24,1111.77,1098.17
2019/07/01,1097.95,1438504,1098,1107.58,1093.703
2019/06/28,1080.91,1693450,1076.39,1081,1073.37
2019/06/27,1076.01,1004477,1084,1087.1,1075.29
2019/06/26,1079.8,1810869,1086.5,1092.97,1072.24
2019/06/25,1086.35,1546913,1112.66,1114.35,1083.8
2019/06/24,1115.52,1395696,1119.61,1122,1111.01
2019/06/21,1121.88,1947591,1109.24,1124.11,1108.08
2019/06/20,1111.42,1262011,1119.99,1120.12,1104.74
2019/06/19,1102.33,1339218,1105.6,1107,1093.48
2019/06/18,1103.6,1386684,1109.69,1116.39,1098.99
2019/06/17,1092.5,941602,1086.28,1099.18,1086.28
2019/06/14,1085.35,1111643,1086.42,1092.69,1080.1721
2019/06/13,1088.77,1058000,1083.64,1094.17,1080.15
2019/06/12,1077.03,1061255,1078,1080.93,1067.54
2019/06/11,1078.72,1437063,1093.98,1101.99,1077.6025
2019/06/10,1080.38,1464248,1072.98,1092.66,1072.3216
2019/06/07,1066.04,1802370,1050.63,1070.92,1048.4
2019/06/06,1044.34,1703244,1044.99,1047.49,1033.7
2019/06/05,1042.22,2168439,1051.54,1053.55,1030.49
2019/06/04,1053.05,2833483,1042.9,1056.05,1033.69
2019/06/03,1036.23,5130576,1065.5,1065.5,1025
2019/05/31,1103.63,1508203,1101.29,1109.6,1100.18
2019/05/30,1117.95,951873,1115.54,1123.13,1112.12
2019/05/29,1116.46,1538212,1127.52,1129.1,1108.2201
2019/05/28,1134.15,1365166,1134,1151.5871,1133.12
2019/05/24,1133.47,1112341,1147.36,1149.765,1131.66
2019/05/23,1140.77,1199300,1140.5,1145.9725,1129.224
2019/05/22,1151.42,914839,1146.75,1158.52,1145.89
2019/05/21,1149.63,1160158,1148.49,1152.7077,1137.94
2019/05/20,1138.85,1353292,1144.5,1146.7967,1131.4425
2019/05/17,1162.3,1208623,1168.47,1180.15,1160.01
2019/05/16,1178.98,1531404,1164.51,1188.16,1162.84
2019/05/15,1164.21,2289302,1117.87,1171.33,1116.6657
